Commission professionnelle consultative;Secteur;Sous-secteur;Niveau;Code diplôme;Diplôme;Intitulé de la spécialité (et options);Code RNCP;Date de l'arrêté de création;Première session;Dernière session
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 3;010-22105 S;Mention complémentaire de niveau 3;Cuisinier en desserts de restaurant;6981;1997-07-31;1998;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 3;010-33411 T;Mention complémentaire de niveau 3;Employé barman;6984;1997-05-16;1998;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 3;010-22103 S;Mention complémentaire de niveau 3;Employé traiteur;958;1989-11-13;1990;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;010-25507 R;Mention complémentaire de niveau 3;Maintenance des systèmes embarques de l'automobile;2807;2005-05-09;2006;2022
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;010-23302 S;Mention complémentaire de niveau 3;Plaquiste;740;1993-07-07;1994;2023
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;;Mention complémentaire de niveau 3;Plâtrier;740;2022-08-30;2024;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 3;010-25118 S;Mention complémentaire de niveau 3;Réalisation de circuits oléo-hydrauliques et pneumatiques;36333;2002-07-30;2003;
CPC Services aux entreprises;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;010-34401 T;Mention complémentaire de niveau 3;Sûreté des espaces ouverts au public;1177;2001-09-05;2002;2023
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;010-23202 S;Mention complémentaire de niveau 3;Zinguerie;744;1989-08-09;1990;2023
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;010-25308 R;Mention complémentaire de niveau 4;Aéronautique option avions à moteurs à turbines;29138;2015-02-18;2016;
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;010-25310 R;Mention complémentaire de niveau 4;Aéronautique option hélicoptères à moteurs à turbines;29140;2015-02-18;2016;
CPC Sport et animation;Secteur;Sous-secteur;Niveau 4;010-33504 M;Mention complémentaire de niveau 4;Encadrement secteur sportif option activités de la forme - cours collectifs;;2022-01-14;2023;
CPC Sport et animation;Secteur;Sous-secteur;Niveau 4;010-33502 M;Mention complémentaire de niveau 4;Encadrement secteur sportif option activités physiques pour tous;;2022-01-14;2023;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;010-23304 S;Mention complémentaire de niveau 4;Peinture décoration;738;2000-07-26;2002;
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 4;010-32601 M;Mention complémentaire de niveau 4;Services numériques aux organisations;35517;2020-12-14;2022;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;010-22704 S;Mention complémentaire de niveau 4;Technicien en énergies renouvelables option A - énergie électrique;15009;2010-04-20;2011;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;010-25508 S;Mention complémentaire de niveau 4;Technicien en réseaux électriques;13937;2012-02-10;2013;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;010-25407 S;Mention complémentaire de niveau 4;Technicien en tuyauterie;27473;2017-01-12;2018;
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;400-25302 M;Baccalauréat professionnel;Aéronautique option avionique;17475;2013-04-12;2016;
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 4;400-30004 T;Baccalauréat professionnel;Assistance à la gestion des organisations et de leurs activités;34606;2020-02-18;2023;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;400-33403 T;Baccalauréat professionnel;Commercialisation et services en restauration;12802;2011-05-31;2014;
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 4;400-33603 T;Baccalauréat professionnel;Esthétique cosmétique parfumerie;30312;2017-04-07;2020;2024
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-22707 S;Baccalauréat professionnel;Installateur en chauffage, climatisation et énergies renouvelables;35845;2021-06-29;2024;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-22706 R;Baccalauréat professionnel;Maintenance  et Efficacité énergétique;35844;2021-05-20;2024;
CPC Agriculture, agroalimentaire et aménagement des espaces;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 4;400-25221 R;Baccalauréat professionnel;Maintenance des matériels option C - matériels d'espaces verts;29642;2016-03-24;2019;
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 4;400-33604 T;Baccalauréat professionnel;Métiers de la coiffure;34420;2019-06-28;2023;
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;400-24203 S;Baccalauréat professionnel;Métiers de la mode - vêtements;24703;2009-05-19;2011;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 4;400-31213 T;Baccalauréat professionnel;Métiers du commerce et de la vente option A animation et gestion de l'espace commercial;32208;2018-12-17;2022;
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;400-24303 S;Baccalauréat professionnel;Métiers du cuir option sellerie garnissage;31084;2016-01-05;2018;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;400-25006 S;Baccalauréat professionnel;Microtechniques;2832;2003-12-23;2006;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 4;400-33101 T;Baccalauréat professionnel;Optique lunetterie;9295;2010-04-08;2012;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-25406 B;Baccalauréat professionnel;Ouvrage du bâtiment : métallerie;4432;2006-05-09;2008;
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 4;400-20102 U;Baccalauréat professionnel;Pilote de ligne de production;36428;2012-03-30;2015;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 4;400-31209 T;Baccalauréat professionnel;Poissonnier écailler traiteur;7069;2009-06-24;2011;
CPC Industrie;Secteur Bois et dérivés;Sous-secteur;Niveau 4;400-23407 S;Baccalauréat professionnel;Technicien de fabrication bois et matériaux associes;4099;2006-02-22;2008;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-22704 R;Baccalauréat professionnel;Technicien de maintenance de systèmes énergétiques et climatiques;4434;2006-05-03;2008;2023
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;400-25509 R;Baccalauréat professionnel;Technicien du froid et du conditionnement de l'air;4088;2006-05-03;2008;2023
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 4;400-33103 S;Baccalauréat professionnel;Technicien en appareillage orthopédique;24601;2015-12-22;2019;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 4;400-33104 S;Baccalauréat professionnel;Technicien en prothèse dentaire;34674;2020-04-25;2023;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;400-23103 P;Baccalauréat professionnel;Technicien géomètre topographe;4895;2007-03-20;2009;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 4;401-24107 V;Brevet des métiers d'arts;Arts de la dentelle option fuseaux;5290;2007-03-20;2009;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;401-23201 S;Brevet des métiers d'arts;Gravure sur pierre;36841;2013-11-06;2016;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 4;401-22319 V;Brevet des métiers d'arts;Orfèvrerie option monture - tournure;;2013-07-26;2016;
CPC Services aux entreprises;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;450-34401 T;Brevet professionnel;Agent technique de prévention et de sécurité;965;1997-09-03;1998;
CPC Services aux entreprises;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;450-34402 T;Brevet professionnel;Agent technique de sécurité dans les transports;964;1997-09-03;1998;2024
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;450-24004 T;Brevet professionnel;Blanchisseur;-;1962-08-14;1963;2023
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 4;450-22110 S;Brevet professionnel;Boucher;26612;2016-04-26;2018;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;450-23105 U;Brevet professionnel;Conducteur d'engins : travaux publics et carrières;32240;2015-06-02;2017;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 4;450-32203 W;Brevet professionnel;Libraire;7061;2009-04-09;2011;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;450-23214 S;Brevet professionnel;Métiers de la pierre;32230;2015-06-24;2017;
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;450-20101 U;Brevet professionnel;Pilote d'installation de production par procédés;1006;1998-09-09;1999;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 4;450-33104 S;Brevet professionnel;Préparateur en pharmacie;1008;1997-09-10;1999;2024
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;450-33405 T;Brevet professionnel;Sommelier;1012;1997-09-03;1998;
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;450-24215 S;Brevet professionnel;Vêtement sur mesure option tailleur dame;1015;1994-11-21;1995;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 5;320-32002 P;Brevet de technicien supérieur;Communication;7481;2009-06-11;2011;2023
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-20111 N;Brevet de technicien supérieur;Conception et réalisation des systèmes automatiques;37115;2011-06-23;2013;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33204 T;Brevet de technicien supérieur;Economie sociale et familiale;7570;2009-07-31;2011;2023
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32208 M;Brevet de technicien supérieur;Edition;16313;2013-04-08;2015;
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 5;320-23305 N;Brevet de technicien supérieur;Etude et réalisation d'agencement;35471;2016-02-16;2018;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32211 S;Brevet de technicien supérieur;Etudes de réalisation d'un projet de communication option B études de réalisation de produits imprimés;35474;2016-06-07;2019;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 5;320-22506 S;Brevet de technicien supérieur;Europlastics et composites à référentiel commun européen option pilotage et optimisation de la production;35333;2016-02-29;2018;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 5;320-22711 M;Brevet de technicien supérieur;Fluides-énergies-domotique option C domotique et bâtiments communicants;20807;2014-02-26;2016;
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 5;320-24112 S;Brevet de technicien supérieur;Innovation textile option B traitements;20675;2014-05-13;2016;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 5;320-25218 R;Brevet de technicien supérieur;Maintenance des matériels de construction et de manutention;31290;2017-02-13;2019;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 5;320-23013 P;Brevet de technicien supérieur;Management économique de la construction;35802;2020-12-11;2023;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 5;320-33425 P;Brevet de technicien supérieur;Management en hôtellerie et restauration option C management d'hébergement;35339;2018-02-15;2020;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32328 P;Brevet de technicien supérieur;Métiers de l'audiovisuel option gestion de la production;20689;2013-06-04;2016;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32329 V;Brevet de technicien supérieur;Métiers de l'audiovisuel option métiers de l'image;20696;2013-06-04;2016;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32332 V;Brevet de technicien supérieur;Métiers de l'audiovisuel option montage et postproduction;20697;2013-06-04;2016;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 5;320-22208 S;Brevet de technicien supérieur;Métiers de la chimie;35522;2016-02-08;2018;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 5;320-34304 R;Brevet de technicien supérieur;Métiers des services à l'environnement;20692;2013-04-08;2015;
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 5;320-32613 T;Brevet de technicien supérieur;Services informatiques aux organisations option A solutions d'infrastructures, systèmes et réseaux;35340;2019-04-29;2022;
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 5;320-32409 T;Brevet de technicien supérieur;Support à l'action managériale;34029;2018-02-16;2020;
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 5;320-23412 M;Brevet de technicien supérieur;Systèmes constructifs bois et habitat;18315;2014-02-10;2016;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-25516 M;Brevet de technicien supérieur;Systèmes numériques option B : électronique et communications;35341;2013-11-15;2016;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-22312 M;Brevet de technicien supérieur;Traitements des matériaux option b : traitements de surfaces;1185;2001-08-06;2003;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 3;500-32308 V;Certificat d'aptitude professionnelle;Accordeur de piano;36339;1994-08-25;1995;
CPC Services aux entreprises;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 3;500-34301 T;Certificat d'aptitude professionnelle;Agent de la qualité de l'eau;508;1990-08-23;1992;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22361 V;Certificat d'aptitude professionnelle;Art et techniques de la bijouterie-joaillerie option bijouterie-joaillerie;36336;2008-03-18;2010;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 3;500-24131 V;Certificat d'aptitude professionnelle;Arts de la dentelle option aiguille;35640;2004-07-29;2005;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-23430 V;Certificat d'aptitude professionnelle;Arts du bois option A - sculpteur ornemaniste;517;1983-05-27;1985;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 3;500-23450 V;Certificat d'aptitude professionnelle;Assistant luthier du quatuor;35699;2021-05-03;2023;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 3;500-32310 V;Certificat d'aptitude professionnelle;Assistant technique en instruments de musique option accordéon;36255;2001-09-05;2003;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-22135 T;Certificat d'aptitude professionnelle;Boucher;6993;2005-05-11;2007;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-23420 S;Certificat d'aptitude professionnelle;Cannage et paillage en ameublement;534;1990-07-12;1992;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-23325 S;Certificat d'aptitude professionnelle;Carreleur mosaïste;35380;2019-04-15;2021;
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24316 S;Certificat d'aptitude professionnelle;Chaussure;1146;1998-12-08;2000;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 3;500-33412 T;Certificat d'aptitude professionnelle;Commercialisation et services en hôtel-café-restaurant;31096;2017-02-27;2019;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;;Certificat d'aptitude professionnelle;Conducteur d'engins : travaux publics et carrières;4463;2022-08-29;2025;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;500-23119 S;Certificat d'aptitude professionnelle;Constructeur de réseaux de canalisations de travaux publics;35321;2019-04-15;2021;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25432 S;Certificat d'aptitude professionnelle;Construction des carrosseries;4936;2007-03-20;2009;
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24313 S;Certificat d'aptitude professionnelle;Cordonnier bottier;553;1993-07-07;1995;
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-31119 T;Certificat d'aptitude professionnelle;Déménageur sur véhicule utilitaire léger;31455;2010-06-10;2012;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22353 V;Certificat d'aptitude professionnelle;Emailleur d'art sur métaux;566;1980-02-28;1981;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 3;500-31224 T;Certificat d'aptitude professionnelle;Equipier polyvalent du commerce;34947;2019-10-29;2022;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;;Certificat d'aptitude professionnelle;Etancheur du bâtiment et des travaux publics;1141;2022-08-29;2025;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-25108 S;Certificat d'aptitude professionnelle;Instruments coupants et de chirurgie;594;1990-12-21;1992;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-23006 R;Certificat d'aptitude professionnelle;Interventions en maintenance technique des bâtiments;35696;2021-03-30;2023;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22343 V;Certificat d'aptitude professionnelle;Lapidaire option B - pierres de couleur;596;1974-09-20;1976;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25222 R;Certificat d'aptitude professionnelle;Maintenance des matériels option B -matériels de construction et de manutention;29655;2016-03-24;2018;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-21305 W;Certificat d'aptitude professionnelle;Mareyage;603;1996-08-19;1997;
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24322 S;Certificat d'aptitude professionnelle;Maroquinerie;604;2005-04-26;2007;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-25439 S;Certificat d'aptitude professionnelle;Métallier;35700;2021-03-30;2023;
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 3;500-33616 T;Certificat d'aptitude professionnelle;Métiers de la coiffure;34670;2019-06-05;2021;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Gravure;Niveau 3;500-32220 S;Certificat d'aptitude professionnelle;Métiers de la gravure option A - gravure d'ornementation;620;1993-03-09;1995;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Gravure;Niveau 3;500-32223 S;Certificat d'aptitude professionnelle;Métiers de la gravure option D - marquage poinçonnage;625;1993-03-09;1995;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 3;500-22505 S;Certificat d'aptitude professionnelle;Mise en œuvre des caoutchoucs et des élastomères thermoplastiques;628;1987-06-22;1988;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 3;500-22142 M;Certificat d'aptitude professionnelle;Production et service en restaurations (rapide, collective, cafétéria);35317;2019-10-29;2022;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-25437 S;Certificat d'aptitude professionnelle;Réalisations industrielles en chaudronnerie ou soudage option a - chaudronnerie;27468;2017-01-03;2019;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-25438 S;Certificat d'aptitude professionnelle;Réalisations industrielles en chaudronnerie ou soudage option b - soudage;27470;2017-01-03;2019;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 3;500-32227 V;Certificat d'aptitude professionnelle;Signalétique et décors graphiques;28312;2017-02-27;2019;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-24238 S;Certificat d'aptitude professionnelle;Tapissier -tapissière d’ameublement en siège;677;2004-07-29;2007;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur;Niveau 3;500-33617 T;Certificat d'aptitude professionnelle;Taxidermiste;34672;2019-02-25;2021;
CPC Mer et navigation intérieure;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-31121 U;Certificat d'aptitude professionnelle;Transport fluvial;12290;2011-04-26;2013;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 4;420-32305 V;Diplôme;Brevet artistique des techniques du cirque;23909;1989-10-27;1992;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;321-13301 F;Diplôme des métiers d'art;Cinéma d'animation;821;1998-08-27;2000;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 5;321-24204 S;Diplôme des métiers d'art;Costumier réalisateur;842;1991-07-16;1995;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 5;321-23004 V;Diplôme des métiers d'art;Décor architectural option B : domaine du décor du mur;843;1987-07-16;1989;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 5;321-23005 V;Diplôme des métiers d'art;Décor architectural option C : domaine du métal;850;1987-07-16;1989;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 5;321-23413 V;Diplôme des métiers d'art;Facture instrumentale option piano;6899;2009-04-08;2011;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 5;321-23001 V;Diplôme des métiers d'art;Habitat option : décors et mobiliers;836;1987-07-07;1989;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 5;321-22401 V;Diplôme des métiers d'art;Textiles et céramiques option arts de la céramique artisanale;841;1987-07-17;1989;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 6;322-33109 T;Diplôme de technicien supérieur;Imagerie médicale et radiologie thérapeutique;34541;2012-08-24;2015;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;010-22701 T;Mention complémentaire de niveau 3;Maintenance en équipement thermique individuel;730;1994-09-09;1995;2023
CPC Services aux entreprises;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;010-34402 T;Mention complémentaire de niveau 3;Sécurité civile et d'entreprise;853;2002-06-28;2003;2023
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;;Mention complémentaire de niveau 4;Sommellerie;;;2024;
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 4;010-22001 R;Mention complémentaire de niveau 4;Agent de contrôle non destructif;955;1995-10-09;1996;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts de la reliure;Niveau 4;010-22306 V;Mention complémentaire de niveau 4;Art de la dorure à chaud;35639;2021-03-10;2022;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;010-25122 S;Mention complémentaire de niveau 4;Maquettes et prototypes;879;2002-08-01;2003;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 4;010-23306 W;Mention complémentaire de niveau 4;Vendeur conseil en produits techniques pour l'habitat;21466;2014-12-17;2016;
